Countries,Years,Number of injurie firefighters
Latvia,2012,27
Russia,2012,247
Denmark,2012,
Slovenia,2012,4
Netherlands,2012,
Romania,2012,28
Switzerland,2012,
Malta,2012,
Czech Republic,2012,225
Slovakia,2013,
Sweden,2013,
Italy,2013,
Czech Republic,2013,168
USA,2013,65880
Switzerland,2013,162
Romania,2013,
Lithuania,2013,20
Latvia,2013,
Estonia,2013,35
Russia,2013,320
Jordan,2013,
Liechtenstein,2013,
Ireland,2013,
Poland,2013,
New Zealand,2013,
Slovenia,2013,5
Norway,2013,
Serbia,2013,30
Hungary,2013,
Austria,2013,
Finland,2013,82
Bulgaria,2013,31
Czechia,2013,168
Netherlands,2013,
Belarus,2013,13
Germany,2013,
Malta,2013,
Cyprus,2013,3
Israel,2013,
Japan,2013,2354
France,2013,133
Ukraine,2013,
Belgiun,2013,30
Vietnam,2013,
Croatia,2013,
Greece,2013,41
Denmark,2013,
Portugal,2013,
Belgium,2013,30
Belarus,2014,11
Portugal,2014,
Greece,2014,
Hungary,2014,53
Bulgaria,2014,25
Estonia,2014,38
Italy,2014,
Belgiun,2014,
Austria,2014,949
New Zealand,2014,
Norway,2014,
Latvia,2014,43
Finland,2014,
Netherlands,2014,
France,2014,
Serbia,2014,34
Croatia,2014,8
Vietnam,2014,
Japan,2014,384
Liechtenstein,2014,
Jordan,2014,
Prepublic of Korea,2014,
Lithuania,2014,22
Denmark,2014,
Sweden,2014,
Switzerland,2014,155
Russia,2014,320
Czech Republic,2014,428
Ukraine,2014,10
Slovakia,2014,
Israel,2014,
USA,2014,63350
Belgium,2014,
Romania,2014,
Germany (only volunteers),2014,1238
Kazachstan,2014,
Luxemburg,2014,
Slovenia,2014,17
Cyprus,2014,
Ireland,2014,
Poland,2014,356
Malta,2014,
Belarus,2015,3
Poland,2015,425
New Zealand,2015,
Lithuania,2015,14
Mongolia,2015,
Jordan,2015,82
Hungary,2015,52
Austria,2015,
Greece,2015,
Norway,2015,
Croatia,2015,11
Liechtenstein,2015,0
Sweden,2015,
Netherlands,2015,
Russia,2015,230
Slovakia,2015,
Slovenia,2015,5
Belgiun,2015,
Japan,2015,
Bulgaria,2015,19
Switzerland,2015,133
Luxemburg,2015,
France,2015,
USA,2015,68085
Belgium,2015,
Vietnam,2015,
Czech Republic,2015,242
Israel,2015,
Malta,2015,0
Estonia,2015,51
Latvia,2015,57
Prepublic of Korea,2015,
Finland,2015,66
Serbia,2015,
Denmark,2015,
Germany (only volunteers),2015,1570
Kazachstan,2015,
Italy,2015,
Cyprus,2015,
Ireland,2015,
Romania,2015,16
Ukraine,2015,34
Ukraine,2016,21
Serbia,2016,
Jordan,2016,76
Italy,2016,
Israel,2016,120
Liechtenstein,2016,
Japan,2016,
Belgium,2016,
Belarus,2016,14
Bulgaria,2016,22
Estonia,2016,52
USA,2016,62085
Croatia,2016,24
Malta,2016,0
Norway,2016,
Mongolia,2016,
Greece,2016,
France,2016,
Cyprus,2016,
Czech Republic,2016,182
Sweden,2016,
Denmark,2016,
Netherlands,2016,
Lithuania,2016,21
Hungary,2016,72
Austria,2016,
Luxemburg,2016,
Latvia,2016,57
Switzerland,2016,
Kazachstan,2016,
Romania,2016,25
Germany (only volunteers),2016,1344
Slovenia,2016,
Slovakia,2016,
Poland,2016,368
Russia,2016,42
Finland,2016,81
Prepublic of Korea,2016,
Bulgaria,2017,23
Lithuania,2017,23
Switzerland,2017,188
Finland,2017,43
Israel,2017,
Slovenia,2017,
France,2017,
Cyprus,2017,
Estonia,2017,57
Greece,2017,
Czech Republic,2017,182
Mongolia,2017,
Slovakia,2017,
Hungary,2017,72
Russia,2017,
Serbia,2017,
Malta,2017,
Romania,2017,1
Ukraine,2017,15
USA,2017,58835
Belarus,2017,6
Prepublic of Korea,2017,
Kazachstan,2017,
Sweden,2017,
Luxemburg,2017,
Austria,2017,
Belgium,2017,
Japan,2017,
Croatia,2017,101
Jordan,2017,52
Latvia,2017,49
Liechtenstein,2017,
Germany (only volunteers),2017,1102
Poland,2017,204
Kazachstan,2018,11
Estonia,2018,54
Finland,2018,84
Jordan,2018,
Japan,2018,
Luxemburg,2018,27
Greece,2018,16
Ukraine,2018,29
Mongolia,2018,
Latvia,2018,
Slovakia,2018,
Hungary,2018,84
Liechtenstein,2018,0
Israel,2018,
Czech Republic,2018,253
Austria,2018,
Poland,2018,406
Lithuania,2018,
USA,2018,58250
Prepublic of Korea,2018,728
Germany (only volunteers),2018,1194
Malta,2018,
Serbia,2018,
Sweden,2018,113
Switzerland,2018,146
Romania,2018,
Russia,2018,67
Belarus,2018,5
Bulgaria,2018,14
Croatia,2018,22
Slovenia,2018,6
Mongolia,2019,6
Poland,2019,1698
Slovenia,2019,146
Romania,2019,
Russia,2019,
Slovakia,2019,45
USA,2019,60225
Sweden,2019,103
Switzerland,2019,
Prepublic of Korea,2019,
Malta,2019,
Jordan,2019,124
Lithuania,2019,29
Belarus,2019,
Bulgaria,2019,
Croatia,2019,17
Czech Republic,2019,217
Estonia,2019,52
Finland,2019,
Luxemburg,2019,
Germany (only volunteers),2019,
Hungary,2019,67
Israel,2019,
Japan,2019,2229
Kazachstan,2019,25
Latvia,2019,67
Liechtenstein,2019,0
Greece,2019,13
Ukraine,2019,25
