Countries,Years,Number of dead firefighters
Korea South,2000,10
Greece,2000,1
Georgia,2000,0
Bulgaria,2000,1
Sweden,2000,0
Finland,2000,0
Luxemburg,2000,0
Slovakia,2000,
Japan,2000,4
Singapore,2000,0
Poland,2000,2
Netherlands,2000,0
Austria,2000,1
Norway,2000,
Serbia,2000,1
Papua New Guinea,2000,0
Latvia,2000,0
Taiwan,2000,0
USA,2000,103
Mongolia,2000,0
New Zealand,2000,1
Belarus,2000,1
Portugal ,2000,7
Slovenia,2000,0
Romania,2000,1
Ukraine,2000,
Uzbekistan,2000,2
Switzerland,2000,
UK,2000,0
Armenia,2000,0
Lithuania,2000,0
Kyrgizstan,2000,
Russia,2000,29
Malaysia,2000,0
New Zealand,2001,1
Iran,2001,14
Luxemburg,2001,0
Serbia,2001,0
USA,2001,99
Kuwait,2001,0
Netherlands,2001,
Barbados,2001,0
Japan,2001,6
Malaysia,2001,0
Hungary,2001,1
Italy,2001,
Georgia,2001,0
Norway,2001,
Ireland,2001,
Poland,2001,5
Germany,2001,10
Lithuania,2001,0
Papua New Guinea,2001,0
Latvia,2001,0
Greece,2001,
Kazakhstan,2001,
Mongolia,2001,0
Israel,2001,0
Kyrgizstan,2001,
Croatia,2001,0
Armenia,2001,
Ukraine,2001,
Switzerland,2001,
Korea South,2001,10
Canada,2001,
Slovenia,2001,
Estonia,2001,0
France,2001,
Finland,2001,
Romania,2001,0
Singapore,2001,0
Taiwan,2001,0
Brunei,2001,0
Czechia,2001,1
UK,2001,
Uzbekistan,2001,
Egypt,2001,
Bulgaria,2001,1
Slovakia,2001,
Russia,2001,7
Denmark,2001,0
Austria,2001,6
Sweden,2001,
Belarus,2001,2
Portugal ,2001,
Sweden,2002,0
Greece,2002,
Norway,2002,
Georgia,2002,
Egypt,2002,
Mongolia,2002,
Estonia,2002,0
Kuwait,2002,
Germany,2002,18
Romania,2002,0
Uzbekistan,2002,0
Armenia,2002,
Switzerland,2002,
Slovakia,2002,
Malaysia,2002,
Croatia,2002,3
Singapore,2002,
New Zealand,2002,0
Netherlands,2002,
Iran,2002,
Slovenia,2002,
Serbia,2002,
Portugal ,2002,
Czechia,2002,3
Denmark,2002,3
Japan,2002,
Russia,2002,6
Ireland,2002,
Ukraine,2002,
Finland,2002,
Brunei,2002,
Luxemburg,2002,0
Barbados,2002,
Belarus,2002,0
Kazakhstan,2002,
Hungary,2002,0
Taiwan,2002,
Israel,2002,
Poland,2002,2
Korea South,2002,6
Bulgaria,2002,0
UK,2002,
Latvia,2002,1
Lithuania,2002,
Canada,2002,
France,2002,23
Papua New Guinea,2002,
Italy,2002,
USA,2002,97
Austria,2002,7
Kyrgizstan,2002,
Austria,2003,1
Poland,2003,5
Latvia,2003,1
Estonia,2003,1
Ireland,2003,0
Russia,2003,13
Vietnam,2003,0
France,2003,13
Lithuania,2003,0
UK,2003,1
Laos,2003,0
Norway,2003,0
Uzbekistan,2003,0
Greece,2003,0
Belarus,2003,1
USA,2003,105
Croatia,2003,1
Ukraine,2003,6
Sweden,2003,1
Romania,2004,
Vietnam,2004,0
Bulgaria,2004,1
Singapore,2004,
Belgium,2004,
Latvia,2004,0
Switzerland,2004,7
Slovakia,2004,
Russia,2004,15
Slovenia,2004,0
Czechia,2004,
Croatia,2004,3
Cyprus,2004,
Kuwait,2004,
Albania,2004,
Poland,2004,4
Serbia,2004,
Italy,2004,41
China,2004,
Austria,2004,0
Finland,2004,0
Germany,2004,16
Belarus,2004,
Ukraine,2004,2
Laos,2004,0
New Zealand,2004,
Greece,2004,0
Ireland,2004,0
Sweden,2004,0
Hungary,2004,0
Lithuania,2004,0
Portugal,2004,
UK,2004,3
Netherlands,2004,
France,2004,12
Uzbekistan,2004,1
Estonia,2004,0
Denmark,2004,
USA,2004,105
Norway,2004,0
Turkey,2004,31
Cyprus,2005,
Albania,2005,0
Greece,2005,
Slovenia,2005,0
Croatia,2005,
Slovakia,2005,
Finland,2005,
Belarus,2005,
Bulgaria,2005,0
Switzerland,2005,7
Germany,2005,14
Uzbekistan,2005,
Denmark,2005,
Singapore,2005,0
China,2005,
Czechia,2005,
Estonia,2005,0
Ukraine,2005,4
Sweden,2005,0
Portugal,2005,9
France,2005,20
Vietnam,2005,0
Norway,2005,
Austria,2005,1
UK,2005,
USA,2005,87
Netherlands,2005,
Italy,2005,2
Kuwait,2005,2
Lithuania,2005,0
Hungary,2005,1
Belgium,2005,
Turkey,2005,
New Zealand,2005,0
Ireland,2005,
Romania,2005,1
Russia,2005,8
Poland,2005,0
Laos,2005,0
Latvia,2005,1
Serbia,2005,0
Sweden,2006,0
Cyprus,2006,
USA,2006,89
Singapore,2006,0
Switzerland,2006,3
Slovenia,2006,
Croatia,2006,2
Germany,2006,18
Ukraine,2006,2
Kuwait,2006,
Laos,2006,0
Slovakia,2006,
France,2006,11
Italy,2006,3
Denmark,2006,
Turkey,2006,
Greece,2006,
Latvia,2006,0
Uzbekistan,2006,
Hungary,2006,4
Ireland,2006,
Czechia,2006,
Belarus,2006,
Russia,2006,11
Finland,2006,0
Vietnam,2006,0
Serbia,2006,
Austria,2006,3
Portugal,2006,
Netherlands,2006,0
Albania,2006,
New Zealand,2006,0
Bulgaria,2006,1
Lithuania,2006,0
Belgium,2006,
UK,2006,
Estonia,2006,0
Romania,2006,0
Norway,2006,
Poland,2006,
China,2006,
Croatia,2007,14
Sweden,2007,0
Estonia,2007,0
Portugal,2007,
Laos,2007,0
Kuwait,2007,
Uzbekistan,2007,0
Finland,2007,0
Poland,2007,1
Japan,2007,
New Zealand,2007,0
Latvia,2007,0
Netherlands,2007,
Lithuania,2007,0
France,2007,
Turkey,2007,
Austria,2007,6
UK,2007,
Ukraine,2007,4
Italy,2007,3
Belarus,2007,0
USA,2007,102
Slovenia,2007,
Albania,2007,
Germany,2007,10
Ireland,2007,1
Romania,2007,6
Greece,2007,0
Denmark,2007,
Singapore,2007,0
Cyprus,2007,
Russia,2007,6
Belgium,2007,
Hungary,2007,0
Bulgaria,2007,0
Slovakia,2007,
Serbia,2007,
Czechia,2007,0
China,2007,
Switzerland,2007,
Vietnam,2007,0
Norway,2007,
Slovakia,2008,0
Italy,2008,5
Poland,2008,0
China,2008,16
Ireland,2008,
Lithuania,2008,0
New Zealand,2008,1
Russia,2008,12
Hungary,2008,0
Portugal,2008,0
Greece,2008,0
Singapore,2008,0
Laos,2008,0
Latvia,2008,0
Serbia,2008,
Kuwait,2008,
Germany,2008,7
Netherlands,2008,4
Norway,2008,
Vietnam,2008,0
Japan,2008,
Romania,2008,1
Ukraine,2008,1
Uzbekistan,2008,
Austria,2008,2
USA,2008,103
France,2008,
Sweden,2008,0
UK,2008,
Estonia,2008,0
Slovenia,2008,0
Bulgaria,2008,0
Cyprus,2008,0
Finland,2008,
Albania,2008,
Turkey,2008,
Switzerland,2008,
Croatia,2008,3
Belgium,2008,3
Belarus,2008,
Czechia,2008,1
Denmark,2008,0
Poland,2009,2
Norway,2009,
USA,2009,82
Slovakia,2009,0
Portugal,2009,0
Latvia,2009,0
Serbia,2009,
Singapore,2009,
Netherlands,2009,
Japan,2009,
Russia,2009,26
Laos,2009,
Romania,2009,0
New Zealand,2009,0
Ukraine,2009,0
Sweden,2009,0
Switzerland,2009,
Lithuania,2009,0
Croatia,2009,1
Slovenia,2009,0
Italy,2009,2
Belgium,2009,
Austria,2009,3
Estonia,2009,0
Albania,2009,
China,2009,
Czechia,2009,1
Greece,2009,0
Germany,2009,7
Ireland,2009,
France,2009,
Bulgaria,2009,0
Uzbekistan,2009,
Kuwait,2009,
Hungary,2009,0
Cyprus,2009,0
Denmark,2009,0
Vietnam,2009,0
Finland,2009,1
Belarus,2009,
Finland,2010,0
Greece,2010,
Bulgaria,2010,0
Switzerland,2010,
China,2010,
Ireland,2010,
Denmark,2010,0
Estonia,2010,0
Belgium,2010,
Belarus,2010,6
Germany,2010,
Ukraine,2010,0
Lithuania,2010,0
Vietnam,2010,0
France,2010,13
Japan,2010,
Cyprus,2010,0
Latvia,2010,0
Serbia,2010,
Czechia,2010,0
Poland,2010,0
Sweden,2010,
Laos,2010,
Slovakia,2010,0
Singapore,2010,
Portugal,2010,3
New Zealand,2010,
Netherlands,2010,
USA,2010,72
Norway,2010,
Romania,2010,1
Slovenia,2010,0
Italy,2010,4
Austria,2010,1
Belgiun,2010,
Czech Republic,2010,0
Russia,2010,22
Hungary,2010,0
Croatia,2010,2
Norway,2011,0
Laos,2011,
Slovenia,2011,0
Poland,2011,2
Ukraine,2011,0
Estonia,2011,0
Slovakia,2011,
Russia,2011,14
New Zealand,2011,0
Singapore,2011,
Lithuania,2011,
Switzerland,2011,2
China,2011,
Portugal,2011,
Netherlands,2011,
USA,2011,61
Liechtenstein,2011,
Romania,2011,0
Ireland,2011,0
Sweden,2011,0
Finland,2011,1
Belarus,2011,
Croatia,2011,0
France,2011,12
Austria,2011,4
Belgium,2011,
Czechia,2011,0
Serbia,2011,0
Greece,2011,2
Latvia,2011,0
Cyprus,2011,6
Germany,2011,
Italy,2011,2
Bulgaria,2011,0
Belgiun,2011,
Czech Republic,2011,0
Vietnam,2011,0
Hungary,2011,0
Japan,2011,222
Denmark,2011,0
Estonia,2012,1
Cyprus,2012,0
Liechtenstein,2012,
Austria,2012,4
Croatia,2012,3
Czechia,2012,1
Finland,2012,0
France,2012,11
Belgium,2012,0
Serbia,2012,
Ukraine,2012,2
Belarus,2012,
Bulgaria,2012,0
Japan,2012,11
Ireland,2012,
Hungary,2012,1
Italy,2012,3
China,2012,
Germany,2012,
Denmark,2012,
Latvia,2012,0
Czech Republic,2012,1
Laos,2012,
Belgiun,2012,0
Slovakia,2012,2
Poland,2012,1
USA,2012,64
Portugal,2012,
Norway,2012,0
Lithuania,2012,0
Israel,2012,
Greece,2012,0
Romania,2012,0
Slovenia,2012,0
Netherlands,2012,
Vietnam,2012,
Switzerland,2012,
Malta,2012,
New Zealand,2012,
Russia,2012,14
Sweden,2012,0
USA,2013,97
Romania,2013,
Italy,2013,
Latvia,2013,
Lithuania,2013,0
Switzerland,2013,0
Ireland,2013,
Sweden,2013,1
Czech Republic,2013,0
Liechtenstein,2013,
New Zealand,2013,
Slovenia,2013,0
Hungary,2013,
Russia,2013,15
Kazachstan,2013,
Poland,2013,0
Slovakia,2013,
Jordan,2013,
Norway,2013,0
Estonia,2013,0
Ukraine,2013,2
Belgiun,2013,0
Finland,2013,0
Serbia,2013,0
Netherlands,2013,
Japan,2013,7
Belarus,2013,0
Czechia,2013,0
Bulgaria,2013,0
Germany,2013,
Belgium,2013,0
Malta,2013,
Croatia,2013,
Greece,2013,0
Portugal,2013,
France,2013,8
Israel,2013,
Cyprus,2013,
Denmark,2013,0
Austria,2013,
Vietnam,2013,
Belgiun,2014,
Liechtenstein,2014,
Belgium,2014,
Italy,2014,
Portugal,2014,
Bulgaria,2014,0
Greece,2014,
Estonia,2014,0
Belarus,2014,0
Croatia,2014,0
Netherlands,2014,1
Austria,2014,1
Serbia,2014,1
Jordan,2014,
Kazachstan,2014,
Finland,2014,
Vietnam,2014,
Norway,2014,0
France,2014,
Hungary,2014,0
Latvia,2014,0
Slovakia,2014,
Denmark,2014,0
Slovenia,2014,0
Czech Republic,2014,0
Japan,2014,9
Ukraine,2014,1
Switzerland,2014,0
New Zealand,2014,
Russia,2014,19
Israel,2014,
Luxemburg,2014,
Sweden,2014,
Lithuania,2014,1
USA,2014,64
Republic of Korea,2014,
Malta,2014,
Cyprus,2014,
Germany (only volunteers),2014,4
Poland,2014,1
Romania,2014,
Ireland,2014,
Belgiun,2015,
USA,2015,68
Lithuania,2015,0
Greece,2015,
Sweden,2015,1
Hungary,2015,0
Croatia,2015,0
Belarus,2015,0
Poland,2015,1
Switzerland,2015,1
Kazachstan,2015,
Jordan,2015,0
Bulgaria,2015,0
Austria,2015,
Russia,2015,12
Netherlands,2015,0
Italy,2015,
France,2015,
Liechtenstein,2015,0
New Zealand,2015,
Norway,2015,
Ireland,2015,
Japan,2015,
Czech Republic,2015,0
Vietnam,2015,
Denmark,2015,0
Israel,2015,
Belgium,2015,
Estonia,2015,0
Latvia,2015,0
Slovakia,2015,
Finland,2015,0
Serbia,2015,
Slovenia,2015,0
Malta,2015,
Romania,2015,1
Germany (only volunteers),2015,7
Republic of Korea,2015,
Cyprus,2015,
Luxemburg,2015,
Ukraine,2015,5
Liechtenstein,2016,
Japan,2016,
Finland,2016,0
Israel,2016,0
France,2016,
Ukraine,2016,1
Croatia,2016,0
Czech Republic,2016,0
Cyprus,2016,
Kazachstan,2016,
Italy,2016,
Slovenia,2016,
Bulgaria,2016,0
USA,2016,69
Norway,2016,
Jordan,2016,0
Poland,2016,0
Estonia,2016,0
Serbia,2016,
Greece,2016,
Denmark,2016,0
Switzerland,2016,
Belgium,2016,
Belarus,2016,2
Austria,2016,
Latvia,2016,0
Republic of Korea,2016,
Hungary,2016,0
Malta,2016,
Sweden,2016,
Luxemburg,2016,
Germany (only volunteers),2016,3
Slovakia,2016,
Netherlands,2016,
Romania,2016,1
Russia,2016,19
Lithuania,2016,0
Serbia,2017,
Slovenia,2017,
Sweden,2017,0
Switzerland,2017,0
Romania,2017,0
Kazachstan,2017,2
Poland,2017,2
Russia,2017,
Greece,2017,
Hungary,2017,0
Japan,2017,
Jordan,2017,1
Israel,2017,
Slovakia,2017,
France,2017,
Lithuania,2017,0
Latvia,2017,0
Netherlands,2017,
Estonia,2017,0
Bulgaria,2017,1
Belgium,2017,
Belarus,2017,2
Austria,2017,
Republic of Korea,2017,
Ukraine,2017,2
Croatia,2017,0
Germany (only volunteers),2017,5
Luxemburg,2017,
USA,2017,60
Denmark,2017,0
Liechtenstein,2017,
Finland,2017,0
Norway,2017,
Czech Republic,2017,2
Czech Republic,2018,0
Denmark,2018,1
Estonia,2018,0
Finland,2018,0
Greece,2018,1
Hungary,2018,0
Kazachstan,2018,4
Japan,2018,
Latvia,2018,
Lithuania,2018,
Ukraine,2018,0
Slovakia,2018,
Croatia,2018,0
Israel,2018,
Bulgaria,2018,1
Germany (only volunteers),2018,3
Austria,2018,
Luxemburg,2018,0
Netherlands,2018,
Norway,2018,
Russia,2018,8
Belarus,2018,2
Switzerland,2018,0
Sweden,2018,2
Serbia,2018,
Republic of Korea,2018,7
Romania,2018,
Poland,2018,1
USA,2018,64
Jordan,2018,
Liechtenstein,2018,0
Slovenia,2018,1
Luxemburg,2019,
Netherlands,2019,0
Poland,2019,0
Republic of Korea,2019,
Romania,2019,
Switzerland,2019,
USA,2019,48
Slovakia,2019,0
Slovenia,2019,0
Sweden,2019,0
Lithuania,2019,0
Russia,2019,
Liechtenstein,2019,0
Greece,2019,1
Kazachstan,2019,0
Jordan,2019,2
Japan,2019,12
Israel,2019,
Hungary,2019,0
Germany (only volunteers),2019,
Finland,2019,
Estonia,2019,0
Denmark,2019,
Czech Republic,2019,1
Croatia,2019,1
Bulgaria,2019,
Belarus,2019,
Latvia,2019,0
Ukraine,2019,2
