Countries,Years,Number of deaths
Czech Republic,1995,109
Japan,1995,1383
Netherlands,1995,82
Belgium,1995,
Serbia,1995,
Kuwait,1995,
Korea South,1995,571
Tajikistan,1995,
Vietnam,1995,105
Shri Lanka,1995,
Malaysia,1995,
Thailand,1995,
Laos,1995,
China,1995,
Taiwan,1995,294
Lithuania,1995,320
Azerbaijan,1995,54
Kazakhstan,1995,598
Armenia,1995,
Barbados,1995,
Luxemburg,1995,
Ireland,1995,38
Portugal,1995,43
San Paulo (State),1995,52
Kyrgyzstan,1995,130
New Zealand,1995,35
Iceland,1995,2
Slovenia,1995,30
Latvia,1995,
Israel,1995,10
Mongolia,1995,
Brunei,1995,
Syria,1995,
Papua New Guinea,1995,
Italy,1995,455
Singapore,1995,5
Lithuania,1996,272
Thailand,1996,
Singapore,1996,5
Luxemburg,1996,0
Bulgaria,1996,93
Taiwan,1996,275
San Paulo (State),1996,63
Canada,1996,374
Kuwait,1996,
Germany,1996,620
Belarus,1996,788
Armenia,1996,
Greece,1996,54
Kazakstan,1996,
Kazakhstan,1996,775
Georgia,1996,32
Shri Lanka,1996,
Mongolia,1996,
Switzerland,1996,35
Korea South,1996,589
Netherlands,1996,125
Brunei,1996,
Austria,1996,43
Denmark,1996,105
Malaysia,1996,
Tajikistan,1996,
Israel,1996,10
Iceland,1996,2
Japan,1996,2026
Serbia,1996,
Russia,1996,15877
Italy,1996,425
Czech Republic,1996,118
UK,1996,709
Papua New Guinea,1996,
Laos,1996,
France,1996,645
Ukraine,1996,2461
Romania,1996,270
Vietnam,1996,63
Poland,1996,525
USA,1996,5086
Barbados,1996,
Finland,1996,85
Ireland,1996,52
Syria,1996,
Australia,1996,145
Sweden,1996,108
New Zealand,1996,32
Estonia,1996,170
Moldova,1996,129
Slovakia,1996,
Azerbaijan,1996,41
Uzbekistan,1996,322
Hungary,1996,290
Portugal,1996,58
Norway,1996,70
Belgium,1996,
Latvia,1996,207
China,1996,
Spain,1996,240
Kyrgyzstan,1996,121
Slovenia,1996,27
Croatia,1996,48
Japan,1997,2140
Armenia,1997,
Greece,1997,60
Mongolia,1997,
Tajikistan,1997,24
Germany,1997,585
Romania,1997,243
Lithuania,1997,227
Moldova,1997,175
Netherlands,1997,67
Kazakstan,1997,832
Thailand,1997,
Belgium,1997,
Kuwait,1997,
Italy,1997,475
Papua New Guinea,1997,
Hungary,1997,177
Spain,1997,260
Uzbekistan,1997,310
Barbados,1997,
Belarus,1997,722
France,1997,530
Malaysia,1997,
Norway,1997,67
Australia,1997,110
Syria,1997,
Brunei,1997,
Azerbaijan,1997,42
Czech Republic,1997,135
Ukraine,1997,2349
Vietnam,1997,45
Poland,1997,600
Slovenia,1997,30
Georgia,1997,72
Switzerland,1997,62
Slovakia,1997,67
Israel,1997,
Portugal,1997,
Denmark,1997,75
Sweden,1997,117
UK,1997,723
Korea South,1997,564
Kazakhstan,1997,832
Taiwan,1997,226
Russia,1997,13832
Serbia,1997,
Finland,1997,69
Bulgaria,1997,92
China,1997,2722
Singapore,1997,9
Canada,1997,416
Latvia,1997,188
Kyrgyzstan,1997,98
Shri Lanka,1997,
San Paulo (State),1997,92
USA,1997,4147
Estonia,1997,116
Croatia,1997,33
Luxemburg,1997,0
Ireland,1997,51
Iceland,1997,1
Laos,1997,
New Zealand,1997,38
Austria,1997,75
Hungary,1998,205
Brunei,1998,
Serbia,1998,
Estonia,1998,170
Romania,1998,194
Luxemburg,1998,0
Poland,1998,550
Laos,1998,
Uzbekistan,1998,260
Kuwait,1998,
Azerbaijan,1998,41
Mongolia,1998,
China,1998,2389
Portugal,1998,
Bulgaria,1998,95
Czech Republic,1998,96
Syria,1998,
Papua New Guinea,1998,
Armenia,1998,
Netherlands,1998,76
Singapore,1998,11
Greece,1998,70
Iceland,1998,1
Kazakstan,1998,758
Barbados,1998,
Taiwan,1998,306
Australia,1998,140
Vietnam,1998,33
Malaysia,1998,
Kyrgyzstan,1998,82
Tajikistan,1998,28
Thailand,1998,
France,1998,580
Russia,1998,13749
Shri Lanka,1998,
USA,1998,4126
Ukraine,1998,2203
Ireland,1998,45
Germany,1998,522
Belarus,1998,762
Italy,1998,435
New Zealand,1998,47
Kazakhstan,1998,758
San Paulo (State),1998,91
Belgium,1998,
Slovenia,1998,22
Finland,1998,54
Spain,1998,250
Korea South,1998,505
Sweden,1998,179
Latvia,1998,204
Slovakia,1998,
Lithuania,1998,238
Austria,1998,54
Israel,1998,
Switzerland,1998,41
Norway,1998,52
Canada,1998,337
Denmark,1998,79
Georgia,1998,56
Croatia,1998,40
Moldova,1998,151
UK,1998,656
Japan,1998,2100
Israel,1999,28
Thailand,1999,15
Barbados,1999,
Armenia,1999,14
Austria,1999,59
Russia,1999,14901
Switzerland,1999,40
Greece,1999,59
Vietnam,1999,52
Italy,1999,420
Uzbekistan,1999,208
Ukraine,1999,2101
Netherlands,1999,73
Korea South,1999,551
Japan,1999,2129
Germany,1999,529
Azerbaijan,1999,38
Serbia,1999,373
Australia,1999,140
Slovenia,1999,17
Slovakia,1999,49
Spain,1999,275
Kazakhstan,1999,683
Georgia,1999,52
Sweden,1999,71
Belarus,1999,877
USA,1999,3682
Iceland,1999,0
Ireland,1999,51
San Paulo (State),1999,61
China,1999,2744
Singapore,1999,1
UK,1999,623
Taiwan,1999,230
Romania,1999,224
Malaysia,1999,69
Lithuania,1999,202
Moldova,1999,
New Zealand,1999,37
Latvia,1999,264
Portugal,1999,
Laos,1999,
Kyrgyzstan,1999,85
Mongolia,1999,43
Papua New Guinea,1999,4
Norway,1999,60
Luxemburg,1999,
Poland,1999,560
Kuwait,1999,6
Hungary,1999,145
Denmark,1999,84
Brunei,1999,3
Bulgaria,1999,96
Finland,1999,105
Tajikistan,1999,19
Belgium,1999,
Syria,1999,90
France,1999,575
Croatia,1999,27
Canada,1999,388
Shri Lanka,1999,
Czech Republic,1999,105
Estonia,1999,125
Ireland,2000,43
Armenia,2000,
Latvia,2000,240
Japan,2000,2038
Azerbaijan,2000,35
Belgium,2000,
Kazakhstan,2000,693
Estonia,2000,147
Canada,2000,327
Lithuania,2000,207
Finland,2000,53
Laos,2000,0
France,2000,
Kyrgyzstan,2000,70
Bulgaria,2000,100
Greece,2000,62
Israel,2000,22
Malaysia,2000,61
China,2000,3021
Mongolia,2000,36
Australia,2000,125
Moldova,2000,156
Georgia,2000,52
Belarus,2000,913
Barbados,2000,
Luxemburg,2000,4
Korea South,2000,541
Croatia,2000,37
Czech Republic,2000,100
Kuwait,2000,15
Russia,2000,16298
Iceland,2000,0
Ukraine,2000,3197
San Paulo (State),2000,55
Poland,2000,515
Norway,2000,55
Portugal,2000,
Uzbekistan,2000,208
Singapore,2000,6
Germany,2000,518
USA,2000,4147
UK,2000,595
Vietnam,2000,62
New Zealand,2000,33
Netherlands,2000,62
Sweden,2000,106
Switzerland,2000,
Romania,2000,152
Italy,2000,410
Serbia,2000,179
Thailand,2000,25
Tajikistan,2000,29
Hungary,2000,135
Denmark,2000,84
Austria,2000,153
Slovakia,2000,
Spain,2000,260
Papua New Guinea,2000,0
Syria,2000,60
Shri Lanka,2000,
Slovenia,2000,39
Brunei,2000,2
Taiwan,2000,262
Lithuania,2001,244
Denmark,2001,74
Kyrgyzstan,2001,90
Poland,2001,
Italy,2001,
Luxemburg,2001,
New Zealand,2001,48
UK,2001,606
Germany,2001,488
Russia,2001,18321
Romania,2001,
Serbia,2001,239
Vietnam,2001,68
Papua New Guinea,2001,0
Laos,2001,1
Mongolia,2001,45
Latvia,2001,236
San Paulo (State),2001,51
Norway,2001,
Shri Lanka,2001,
Japan,2001,2201
Kazakhstan,2001,686
Czech Republic,2001,99
Ireland,2001,
Korea South,2001,526
Portugal,2001,
Hungary,2001,149
Malaysia,2001,62
Moldova,2001,174
Kuwait,2001,10
Ukraine,2001,3524
Greece,2001,
Netherlands,2001,
Israel,2001,21
Sweden,2001,
Estonia,2001,169
Slovenia,2001,
Georgia,2001,57
Singapore,2001,11
Slovakia,2001,
Thailand,2001,40
Finland,2001,
Australia,2001,
France,2001,
Belgium,2001,
Taiwan,2001,234
Armenia,2001,
Switzerland,2001,
Iceland,2001,1
Azerbaijan,2001,
Belarus,2001,1083
Canada,2001,
Bulgaria,2001,98
Spain,2001,
Syria,2001,84
USA,2001,6196
Austria,2001,58
Barbados,2001,3
China,2001,2314
Brunei,2001,5
Uzbekistan,2001,207
Tajikistan,2001,19
Croatia,2001,37
San Paulo (State),2002,
Portugal,2002,
Denmark,2002,79
Germany,2002,
Kuwait,2002,
Mongolia,2002,33
Bulgaria,2002,97
Slovenia,2002,
Shri Lanka,2002,100
Georgia,2002,62
Singapore,2002,0
Italy,2002,
Slovakia,2002,
Romania,2002,222
Kyrgyzstan,2002,
Australia,2002,
Iceland,2002,
Hungary,2002,136
Canada,2002,
Ireland,2002,
Korea South,2002,
Vietnam,2002,132
China,2002,2500
Czech Republic,2002,109
Kazakhstan,2002,669
Estonia,2002,131
Croatia,2002,30
Finland,2002,
Sweden,2002,137
Switzerland,2002,
UK,2002,578
Syria,2002,
Serbia,2002,
Brunei,2002,
Belgium,2002,
Belarus,2002,1288
Latvia,2002,268
Thailand,2002,
Laos,2002,
Israel,2002,
Russia,2002,19988
Tajikistan,2002,29
Azerbaijan,2002,
Poland,2002,484
Greece,2002,
Armenia,2002,
USA,2002,3380
Taiwan,2002,
Spain,2002,
Norway,2002,
France,2002,823
Netherlands,2002,
Papua New Guinea,2002,
Uzbekistan,2002,192
Austria,2002,39
Ukraine,2002,3616
Moldova,2002,194
Malaysia,2002,
Lithuania,2002,236
Barbados,2002,
New Zealand,2002,40
Japan,2002,
Luxemburg,2002,
Uzbekistan,2003,186
Slovakia,2003,54
Czech Republic,2003,100
Australia,2003,120
Singapore,2003,1
Norway,2003,56
Austria,2003,45
Russia,2003,19281
Tajikistan,2003,31
Poland,2003,515
Peru,2003,
Turkey,2003,505
Mongolia,2003,39
Serbia,2003,16
Croatia,2003,42
Sweden,2003,135
France,2003,500
Ukraine,2003,3920
USA,2003,3925
Greece,2003,40
Germany,2003,475
Latvia,2003,261
Laos,2003,3
Estonia,2003,142
Lithuania,2003,255
Vietnam,2003,137
UK,2003,593
Costa Rica,2003,
Moldova,2003,218
Ireland,2003,34
Belarus,2003,1263
Denmark,2004,85
Romania,2004,
Ukraine,2004,3784
UK,2004,508
Russia,2004,18868
Austria,2004,46
Czech Republic,2004,130
Poland,2004,486
Norway,2004,55
Belarus,2004,1209
Bulgaria,2004,105
Netherland,2004,42
Italy,2004,135
Croatia,2004,39
USA,2004,3900
Switzerland,2004,35
Cyprus,2004,5
Spain,2004,218
New Zealand,2004,35
Portugal,2004,
Sweden,2004,65
Greece,2004,37
Estonia,2004,127
Luxemburg,2004,1
Slovenia,2004,17
Lithuania,2004,233
Slovakia,2004,45
Ireland,2004,35
France,2004,467
Serbia,2004,12
Germany,2004,446
Latvia,2004,195
Finland,2004,103
Hungary,2004,157
Vietnam,2005,65
Cyprus,2005,
Sweden,2005,104
Germany,2005,498
Poland,2005,605
Malaysia,2005,70
New Zealand,2005,32
Finland,2005,79
Austria,2005,45
Romania,2005,209
UK,2005,492
Kazachstan,2005,433
Estonia,2005,134
Switzerland,2005,36
Singapore,2005,1
Ukraine,2005,4191
France,2005,469
Denmark,2005,87
Norway,2005,66
Croatia,2005,41
Belarus,2005,1205
Luxemburg,2005,2
Czech Republic,2005,69
Spain,2005,223
Greece,2005,100
Portugal,2005,
Ireland,2005,41
Russia,2005,18412
Slovakia,2005,51
Latvia,2005,236
Lithuania,2005,295
Hungary,2005,131
Serbia,2005,95
Bulgaria,2005,102
Slovenia,2005,12
Netherland,2005,67
Italy,2005,81
USA,2005,3675
Denmark,2006,71
Ireland,2006,42
Slovenia,2006,7
Sweden,2006,83
Czech Republic,2006,150
Kazachstan,2006,667
Malaysia,2006,71
Slovakia,2006,49
Germany,2006,424
USA,2006,3245
Greece,2006,72
Poland,2006,608
Italy,2006,112
Croatia,2006,33
Latvia,2006,235
Estonia,2006,164
Bulgaria,2006,96
Singapore,2006,3
Vietnam,2006,53
Russia,2006,17223
Portugal,2006,65
Ukraine,2006,4035
Netherland,2006,80
Hungary,2006,154
Cyprus,2006,
Austria,2006,33
Japan,2006,1509
Norway,2006,62
Spain,2006,245
Serbia,2006,89
Luxemburg,2006,
France,2006,341
Romania,2006,220
Switzerland,2006,21
UK,2006,504
Finland,2006,119
New Zealand,2006,25
Belarus,2006,1149
Lithuania,2006,307
Croatia,2007,68
Netherland,2007,
Austria,2007,
Poland,2007,605
Portugal,2007,75
Ukraine,2007,4005
New Zealand,2007,33
Singapore,2007,4
Finland,2007,84
Lithuania,2007,297
Serbia,2007,86
Kazachstan,2007,602
Bulgaria,2007,105
Norway,2007,74
Malaysia,2007,80
Kyrgyzstan,2007,97
Belarus,2007,1084
Switzerland,2007,
Vietnam,2007,61
Estonia,2007,134
Russia,2007,16066
Slovenia,2007,
Luxemburg,2007,
Ireland,2007,41
Italy,2007,67
France,2007,378
Romania,2007,252
Japan,2007,1455
USA,2007,3430
Slovakia,2007,53
Sweden,2007,96
Spain,2007,2325
Cyprus,2007,0
Latvia,2007,207
Greece,2007,70
Denmark,2007,
Germany,2007,346
Hungary,2007,133
Czech Republic,2007,130
UK,2007,443
Vietnam,2008,56
Ireland,2008,35
Slovenia,2008,19
Kazachstan,2008,501
Singapore,2008,0
France,2008,402
Kyrgyzstan,2008,113
Italy,2008,80
Slovakia,2008,68
Poland,2008,574
Hungary,2008,140
Cyprus,2008,0
Spain,2008,270
UK,2008,453
Bulgaria,2008,112
Ukraine,2008,3896
Portugal,2008,
Serbia,2008,93
USA,2008,3320
Switzerland,2008,
Malaysia,2008,
Greece,2008,63
Estonia,2008,89
Romania,2008,225
Russia,2008,15165
Sweden,2008,115
Czech Republic,2008,142
Norway,2008,
New Zealand,2008,34
Latvia,2008,163
Finland,2008,
Austria,2008,50
Luxemburg,2008,
Denmark,2008,90
Netherland,2008,68
Croatia,2008,37
Belarus,2008,1064
Mongolia,2008,50
Germany,2008,398
Lithuania,2008,270
Japan,2008,1452
Great Britain,2008,453
Liechtenstein,2008,
Moldova,2008,
Spain,2009,196
Portugal,2009,0
Finland,2009,107
New Zealand,2009,36
Cyprus,2009,3
Singapore,2009,0
Belarus,2009,
USA,2009,3010
Bulgaria,2009,122
Slovakia,2009,56
Norway,2009,
Russia,2009,13946
Ukraine,2009,3209
Serbia,2009,86
Kyrgyzstan,2009,75
Poland,2009,584
Czech Republic,2009,
Kuwait,2009,73
Slovenia,2009,
Romania,2009,234
UK,2009,416
Japan,2009,
Austria,2009,36
Mongolia,2009,55
Italy,2009,109
Latvia,2009,145
Malaysia,2009,
Ireland,2009,
Lithuania,2009,203
Hungary,2009,125
Luxemburg,2009,
Kazachstan,2009,558
Liechtenstein,2009,
Netherland,2009,
France,2009,394
Croatia,2009,28
Greece,2009,55
Estonia,2009,63
Switzerland,2009,
Great Britain,2009,416
Moldova,2009,
Sweden,2009,124
Denmark,2009,71
Germany,2009,432
Vietnam,2009,52
Bulgaria,2010,79
Great Britain,2010,388
Italy,2010,74
Finland,2010,80
Denmark,2010,74
Estonia,2010,69
Kuwait,2010,19
Czech Republic,2010,131
France,2010,438
Austria,2010,39
Malaysia,2010,
Kyrgyzstan,2010,64
Vietnam,2010,68
Hungary,2010,112
Japan,2010,
Slovenia,2010,16
Netherland,2010,
Ireland,2010,38
Cyprus,2010,6
Ukraine,2010,2819
Belarus,2010,1120
Croatia,2010,26
Kazachstan,2010,528
Norway,2010,65
UK,2010,388
Portugal,2010,0
Latvia,2010,144
Singapore,2010,0
Slovakia,2010,41
Lithuania,2010,233
Serbia,2010,81
Poland,2010,525
Romania,2010,247
Switzerland,2010,0
Sweden,2010,
Russia,2010,13061
Greece,2010,
USA,2010,3120
New Zealand,2010,34
Moldova,2010,185
Spain,2010,192
Liechtenstein,2010,
Mongolia,2010,65
Netherlands,2010,
Germany,2010,373
Belgium,2010,
Bulgaria,2011,122
Ukraine,2011,2869
Slovakia,2011,53
Great Britain,2011,388
Singapore,2011,4
Switzerland,2011,
Spain,2011,
Austria,2011,30
Germany,2011,376
Belarus,2011,483
Norway,2011,46
Portugal,2011,
Hungary,2011,136
Serbia,2011,85
Russia,2011,12019
Slovenia,2011,14
Sweden,2011,102
Kuwait,2011,21
USA,2011,3005
Moldova,2011,168
Czech Republic,2011,
Ireland,2011,38
Croatia,2011,49
Netherlands,2011,
Romania,2011,224
Belgium,2011,
Latvia,2011,122
Vietnam,2011,75
Italy,2011,79
Kazachstan,2011,488
New Zealand,2011,17
Kyrgyzstan,2011,106
Japan,2011,1766
Mongolia,2011,84
Estonia,2011,73
Malaysia,2011,
Greece,2011,48
France,2011,459
Finland,2011,66
Cyprus,2011,16
Netherland,2011,
Denmark,2011,64
Poland,2011,585
Lithuania,2011,
Liechtenstein,2011,
Slovenia,2012,8
Croatia,2012,36
Denmark,2012,65
Kazachstan,2012,518
Finland,2012,77
Kyrgyzstan,2012,90
Germany,2012,384
Moldova,2012,150
France,2012,362
Hungary,2012,140
Italy,2012,258
Romania,2012,222
Greece,2012,49
Spain,2012,170
Ireland,2012,
Czech Republic,2012,125
Poland,2012,564
Kuwait,2012,21
Portugal,2012,
Serbia,2012,
Vietnam,2012,78
Estonia,2012,54
Great Britain,2012,380
Latvia,2012,99
Mongolia,2012,75
Liechtenstein,2012,0
Japan,2012,1721
Belgium,2012,70
Cyprus,2012,2
Norway,2012,40
Netherland,2012,
USA,2012,2855
Armenia,2012,
Netherlands,2012,
Singapore,2012,1
Sweden,2012,103
Switzerland,2012,
Austria,2012,30
Russia,2012,11652
Slovakia,2012,44
Lithuania,2012,150
New Zealand,2012,
Nepal,2012,77
Ukraine,2012,2751
India,2012,23281
Thailand,2012,20
Taiwan,2012,142
Qatar,2012,22
Belarus,2012,927
Myanmar,2012,184
Bangladesh,2012,210
Malaysia,2012,98
Jordan,2012,42
Israel,2012,
Canada,2012,149
Brunei,2012,1
Bulgaria,2012,53
Norway,2013,62
Moldova,2013,120
Mongolia,2013,53
New Zealand,2013,
Portugal,2013,
Ukraine,2013,2494
Greece,2013,33
USA,2013,3420
Sweden,2013,96
Spain,2013,132
Romania,2013,
France,2013,321
Belgium,2013,48
Denmark,2013,70
Great Britain,2013,350
Serbia,2013,62
Costa Rica,2013,23
Singapore,2013,4
Latvia,2013,104
Lithuania,2013,160
Liechtenstein,2013,0
Czech Republic,2013,111
Belarus,2013,783
Estonia,2013,47
Finland,2013,58
Bulgaria,2013,106
Kyrgyzstan,2013,80
Ireland,2013,24
Japan,2013,1625
Slovenia,2013,0
Malaysia,2013,72
Nepal,2013,59
Qatar,2013,4
Myanmar,2013,83
Armenia,2013,
Croatia,2013,
Hungary,2013,112
Netherlands,2013,
Kuwait,2013,17
Slovakia,2013,
Thailand,2013,110
Vietnam,2013,45
Cyprus,2013,5
Jordan,2013,35
Russia,2013,10601
India,2013,22177
Canada,2013,141
Brunei,2013,0
Taiwan,2013,92
Austria,2013,20
Bangladesh,2013,161
Italy,2013,196
Poland,2013,515
Israel,2013,
Germany,2013,439
Kazachstan,2013,455
Costa Rica,2014,13
Kazachstan,2014,401
Serbia,2014,73
Kyrgyzstan,2014,80
Hungary,2014,94
Greece,2014,27
Germany,2014,372
Ukraine,2014,2246
Norway,2014,54
Ireland,2014,37
Italy,2014,141
Denmark,2014,84
Mongolia,2014,61
Sweden,2014,81
Singapore,2014,8
Liechtenstein,2014,0
Spain,2014,162
Belgium,2014,
USA,2014,3275
Finland,2014,86
Vietnam,2014,90
Moldova,2014,118
Portugal,2014,
Estonia,2014,54
New Zealand,2014,
Latvia,2014,94
Belarus,2014,737
Japan,2014,1678
Great Britain,2014,326
Thailand,2014,
Armenia,2014,
Qatar,2014,18
Malaysia,2014,139
Taiwan,2014,124
Kuwait,2014,19
Slovenia,2014,0
Israel,2014,
Slovakia,2014,44
India,2014,19513
Nepal,2014,2
Canada,2014,150
Jordan,2014,35
Brunei,2014,7
France,2014,280
Romania,2014,
Philippines,2014,363
Myanmar,2014,60
Poland,2014,493
Bulgaria,2014,103
Republic of Korea,2014,323
Bangladesh,2014,70
Luxemburg,2014,
Iceland,2014,0
Russia,2014,10138
Austria,2014,
Bhutan,2014,5
Czech Republic,2014,114
Cyprus,2014,
Croatia,2014,21
Netherlands,2014,75
Lithuania,2014,125
Estonia,2015,50
Ukraine,2015,1948
Taiwan,2015,117
Canada,2015,
Belarus,2015,578
Armenia,2015,
Great Britain,2015,324
Germany,2015,367
Bulgaria,2015,109
Bangladesh,2015,68
Thailand,2015,
Sweden,2015,108
Hungary,2015,108
Czech Republic,2015,115
Austria,2015,
Argentina,2015,134
Poland,2015,512
Kuwait,2015,38
Spain,2015,143
Kazachstan,2015,386
Greece,2015,18
Finland,2015,74
Denmark,2015,68
Japan,2015,1563
Ireland,2015,41
Belgium,2015,
Vietnam,2015,62
Costa Rica,2015,12
Egypt,2015,
Kyrgyzstan,2015,48
Brunei,2015,4
New Zealand,2015,13
France,2015,335
Croatia,2015,24
Romania,2015,646
Myanmar,2015,62
USA,2015,3280
Israel,2015,9
Singapore,2015,7
Russia,2015,9405
Serbia,2015,91
Netherlands,2015,81
Jordan,2015,52
Mongolia,2015,59
Iceland,2015,
Italy,2015,222
Malaysia,2015,158
Qatar,2015,18
Liechtenstein,2015,0
Lithuania,2015,125
Cyprus,2015,
Slovenia,2015,3
Latvia,2015,88
Bhutan,2015,5
Slovakia,2015,54
India,2015,17700
Philippines,2015,501
Republic of Korea,2015,269
Nepal,2015,8
Norway,2015,35
Moldova,2015,107
Luxemburg,2015,
Israel,2016,16
Latvia,2016,95
Japan,2016,1452
Estonia,2016,39
Poland,2016,488
Costa Rica,2016,18
Myanmar,2016,67
Liechtenstein,2016,
Lithuania,2016,101
Greece,2016,14
Egypt,2016,
Kuwait,2016,50
USA,2016,3390
Argentina,2016,117
Thailand,2016,
Nepal,2016,0
Canada,2016,
Slovenia,2016,
Cyprus,2016,
Netherlands,2016,42
Kyrgyzstan,2016,80
Czech Republic,2016,124
Vietnam,2016,98
Kazachstan,2016,371
Hungary,2016,114
India,2016,16896
Jordan,2016,28
Italy,2016,295
Malaysia,2016,142
Sweden,2016,105
France,2016,289
Russia,2016,8749
Ukraine,2016,1872
Moldova,2016,111
Qatar,2016,1
Romania,2016,258
Slovakia,2016,52
Bulgaria,2016,129
Brunei,2016,3
Belgium,2016,
Taiwan,2016,169
Singapore,2016,1
Austria,2016,
Belarus,2016,538
Armenia,2016,32
New Zealand,2016,19
Republic of Korea,2016,283
Serbia,2016,90
Denmark,2016,52
Finland,2016,82
Germany,2016,348
Norway,2016,40
Mongolia,2016,60
Croatia,2016,22
Ireland,2016,20
Philippines,2016,469
Luxemburg,2016,
Iceland,2016,2
Spain,2016,175
Bhutan,2016,0
Great Britain,2016,366
Bangladesh,2016,52
Belgium,2017,
Brunei,2017,4
Bulgaria,2017,146
Netherlands,2017,40
Serbia,2017,128
New Zealand,2017,14
Slovenia,2017,
Latvia,2017,79
Kyrgyzstan,2017,
Moldova,2017,80
Belarus,2017,490
Nepal,2017,3
Bangladesh,2017,45
Norway,2017,26
Armenia,2017,6
Japan,2017,1456
Estonia,2017,38
Spain,2017,212
Liechtenstein,2017,
Kazachstan,2017,342
USA,2017,3400
Thailand,2017,
Taiwan,2017,178
Kuwait,2017,31
Egypt,2017,
Argentina,2017,142
Malaysia,2017,
Austria,2017,
Sweden,2017,105
Mongolia,2017,44
Finland,2017,61
Luxemburg,2017,
Cyprus,2017,
Denmark,2017,61
Poland,2017,475
France,2017,277
Germany,2017,370
Great Britain,2017,328
Greece,2017,31
Hungary,2017,121
Iceland,2017,
Ireland,2017,41
Israel,2017,17
Croatia,2017,32
Czech Republic,2017,92
Vietnam,2017,96
Italy,2017,288
Slovakia,2017,55
Qatar,2017,
Ukraine,2017,1819
Bhutan,2017,0
Myanmar,2017,104
Russia,2017,7816
Lithuania,2017,103
Romania,2017,241
Canada,2017,
Jordan,2017,28
Costa Rica,2017,14
India,2017,13159
Philippines,2017,
Republic of Korea,2017,345
Singapore,2017,1
Ireland,2018,18
India,2018,12747
Iceland,2018,3
Hungary,2018,106
Greece,2018,131
France,2018,262
Germany,2018,355
Finland,2018,58
Estonia,2018,50
Denmark,2018,71
Great Britain,2018,400
Israel,2018,19
Czech Republic,2018,100
Japan,2018,1427
Jordan,2018,24
Kazachstan,2018,434
Kuwait,2018,24
Kyrgyzstan,2018,59
Latvia,2018,81
Liechtenstein,2018,0
Luxemburg,2018,0
Vietnam,2018,90
Argentina,2018,163
Egypt,2018,
Italy,2018,
