Countries;Years;Number of injuries;Number of injuries;Years
Slovenia;2013;63;;
Sweden;2013;630;;
Taiwan;2013;189;;
Ukraine;2013;1585;;
USA;2013;15925;;
Vietnam;2013;146;;
Armenia;2014;;;
Bangladesh;2014;210;;
Belarus;2014;421;;
Belgium;2014;;;
Brunei;2014;12;;
Bulgaria;2014;263;;
CostaRica;2014;67;;
Croatia;2014;71;;
Cyprus;2014;;;
Czech Republic;2014;1179;;
Estonia;2014;61;;
Finland;2014;851;;
France;2014;13703;;
Great Britain;2014;9754;;
Greece;2014;64;;
Hungary;2014;729;;
Italy;2014;955;;
Japan;2014;6560;;
Jordan;2014;1133;;
Kazachstan;2014;1011;;
Kuwait;2014;175;;
Kyrgyzstan;2014;51;;
Latvia;2014;283;;
Liechtenstein;2014;;;
Lithuania;2014;193;;
Malaysia;2014;389;;
Moldova;2014;53;;
Mongolia;2014;64;;
Myanmar;2014;181;;
Nepal;2014;0;;
New Zealand;2014;;;
Norway;2014;284;;
Poland;2014;4697;;
Portugal;2014;;;
Qatar;2014;93;;
Republic of Korea;2014;1856;;
Romania;2014;;;
Russia;2014;10997;;
Serbia;2014;338;;
Singapore;2014;111;;
Slovakia;2014;196;;
Slovenia;2014;53;;
Sweden;2014;;;
Taiwan;2014;244;;
Ukraine;2014;1450;;
USA;2014;15775;;
Vietnam;2014;143;;
Armenia;2015;40;;
Bangladesh;2015;216;;
Belarus;2015;281;;
Belgium;2015;;;
Brunei;2015;5;;
Bulgaria;2015;339;;
CostaRica;2015;66;;
Croatia;2015;84;;
Cyprus;2015;;;
Czech Republic;2015;1449;;
Egypt;2015;;;
Estonia;2015;76;;
Finland;2015;665;;
France;2015;;;
Great Britain;2015;9233;;
Greece;2015;63;;
Hungary;2015;835;;
Italy;2015;1263;;
Japan;2015;6309;;
Jordan;2015;1454;;
Kazachstan;2015;963;;
Kuwait;2015;139;;
Kyrgyzstan;2015;54;;
Latvia;2015;304;;
Liechtenstein;2015;;;
Lithuania;2015;206;;
Malaysia;2015;1471;;
Moldova;2015;45;;
Mongolia;2015;44;;
Myanmar;2015;;;
Nepal;2015;2;;
New Zealand;2015;125;;
Norway;2015;;;
Poland;2015;4984;;
Qatar;2015;73;;
Republic of Korea;2015;1837;;
Romania;2015;818;;
Russia;2015;10962;;
Serbia;2015;411;;
Singapore;2015;111;;
Slovakia;2015;242;;
Slovenia;2015;21;;
Sweden;2015;;;
Taiwan;2015;733;;
Ukraine;2015;1357;;
USA;2015;15700;;
Vietnam;2015;264;;
Armenia;2016;46;;
Bangladesh;2016;;;
Belarus;2016;282;;
Belgium;2016;;;
Brunei;2016;5;;
Bulgaria;2016;298;;
CostaRica;2016;67;;
Croatia;2016;104;;
Cyprus;2016;;;
Czech Republic;2016;1291;;
Egypt;2016;;;
Estonia;2016;110;;
Finland;2016;795;;
France;2016;1127;;
Great Britain;2016;9534;;
Greece;2016;53;;
Hungary;2016;811;;
Italy;2016;1609;;
Japan;2016;5899;;
Jordan;2016;1139;;
Kazachstan;2016;566;;
Kuwait;2016;199;;
Kyrgyzstan;2016;77;;
Latvia;2016;302;;
Liechtenstein;2016;;;
Lithuania;2016;204;;
Malaysia;2016;;;
Moldova;2016;;;
Mongolia;2016;;;
Myanmar;2016;;;
Nepal;2016;26;;
New Zealand;2016;;;
Norway;2016;;;
Poland;2016;4573;;
Qatar;2016;43;;
Republic of Korea;2016;1718;;
Romania;2016;659;;
Russia;2016;9905;;
Serbia;2016;349;;
Singapore;2016;62;;
Slovakia;2016;201;;
Slovenia;2016;;;
Sweden;2016;;;
Taiwan;2016;261;;
Ukraine;2016;1351;;
USA;2016;14560;;
Vietnam;2016;180;;
Armenia;2017;54;;
Bangladesh;2017;269;;
Belarus;2017;264;;
Belgium;2017;;;
Brunei;2017;8;;
Bulgaria;2017;301;;
CostaRica;2017;71;;
Croatia;2017;117;;
Cyprus;2017;;;
Czech Republic;2017;1392;;
Egypt;2017;;;
Estonia;2017;102;;
Finland;2017;696;;
France;2017;1226;;
Great Britain;2017;8897;;
Greece;2017;48;;
Hungary;2017;897;;
Italy;2017;;;
Japan;2017;6052;;
Jordan;2017;1089;;
Kazachstan;2017;801;;
Kuwait;2017;265;;
Kyrgyzstan;2017;;;
Latvia;2017;381;;
Liechtenstein;2017;;;
Lithuania;2017;181;;
Malaysia;2017;;;
Moldova;2017;;;
Mongolia;2017;;;
Myanmar;2017;125;;
Nepal;2017;2;;
New Zealand;2017;;;
Norway;2017;;;
Poland;2017;4328;;
Qatar;2017;;;
Republic of Korea;2017;1852;;
Romania;2017;712;;
Russia;2017;9355;;
Serbia;2017;474;;
Singapore;2017;60;;
Slovakia;2017;224;;
Slovenia;2017;;;
Sweden;2017;414;;
Taiwan;2017;;;
Ukraine;2017;1474;;
USA;2017;14670;;
Vietnam;2017;203;;
Armenia;2018;;;
Bangladesh;2018;664;;
Belarus;2018;311;;
Brunei;2018;;;
Bulgaria;2018;295;;
CostaRica;2018;73;;
Croatia;2018;117;;
Czech Republic;2018;1466;;
Egypt;2018;;;
Estonia;2018;100;;
Finland;2018;670;;
France;2018;1282;;
Great Britain;2018;8944;;
Greece;2018;187;;
Hungary;2018;832;;
Italy;2018;;;
Japan;2018;6114;;
Jordan;2018;1058;;
Kazachstan;2018;412;;
Kuwait;2018;;;
Kyrgyzstan;2018;54;;
Latvia;2018;301;;
Liechtenstein;2018;0;;
Lithuania;2018;174;;
Malaysia;2018;;;
Moldova;2018;;;
Mongolia;2018;;;
Myanmar;2018;;;
Nepal;2018;30;;
New Zealand;2018;;;
Norway;2018;;;
Poland;2018;4335;;
Qatar;2018;115;;
Republic of Korea;2018;2225;;
Romania;2018;663;;
Russia;2018;9650;;
Serbia;2018;347;;
Singapore;2018;90;;
Slovakia;2018;194;;
Slovenia;2018;284;;
Sweden;2018;390;;
Taiwan;2018;;;
Ukraine;2018;1516;;
USA;2018;15200;;
Vietnam;2018;208;;
Armenia;2019;;;
Bangladesh;2019;;;
Belarus;2019;444;;
Brunei;2019;8;;
Bulgaria;2019;293;;
CostaRica;2019;;;
Croatia;2019;166;;
Czech Republic;2019;1388;;
Egypt;2019;1203;;
Estonia;2019;113;;
Finland;2019;;;
France;2019;1289;;
Great Britain;2019;8750;;
Greece;2019;36;;
Hungary;2019;758;;
Italy;2019;;;
Japan;2019;5865;;
Jordan;2019;1092;;
Kazachstan;2019;978;;
Kuwait;2019;;;
Kyrgyzstan;2019;;;
Latvia;2019;279;;
Liechtenstein;2019;;;
Lithuania;2019;164;;
Malaysia;2019;;;
Moldova;2019;;;
Mongolia;2019;68;;
Myanmar;2019;226;;
Nepal;2019;;;
New Zealand;2019;;;
Poland;2019;3782;;
Qatar;2019;;;
Republic of Korea;2019;2219;;
Romania;2019;;;
Russia;2019;8461;;
Serbia;2019;;;
Singapore;2019;142;;
Slovakia;2019;343;;
Slovenia;2019;209;;
Sweden;2019;882;;
Taiwan;2019;;;
Ukraine;2019;1523;;
USA;2019;16600;;
Vietnam;2019;;;
