Countries,Years,Number of fires
Bulgaria,1996,16843
Georgia,1996,3682
Portugal,1996,57607
Estonia,1996,9657
Latvia,1996,6365
Ukraine,1996,46819
Malaysia,1996,
Germany,1996,243791
Tunis,1996,3504
New Zealand,1996,18242
Kuwait,1996,
China,1996,
San Paulo (State),1996,21883
Tajikistan,1996,
Kazakhstan,1996,
Poland,1996,109388
Korea South,1996,28665
Vietnam,1996,961
Uzbekistan,1996,21652
Taiwan,1996,13309
Brunei,1996,
Barbados,1996,
Papua New Guinea,1996,
Switzerland,1996,
Mongolia,1996,
Netherlands,1996,55205
Ireland,1996,33352
Algeria,1996,
Japan,1996,
Armenia,1996,
South Africa,1996,
Romania,1996,8974
Russia,1996,294800
Slovakia,1996,
Azerbaijan,1996,2474
Laos,1996,
Israel,1996,
Norway,1996,13793
Kyrgyzstan,1996,3728
Malaysia,1997,
Georgia,1997,3653
Estonia,1997,11660
Japan,1997,
Kuwait,1997,
Armenia,1997,
Singapore,1997,6705
South Africa,1997,
Croatia,1997,7292
Denmark,1997,18236
Kyrgyzstan,1997,3780
Moldova,1997,3116
Finland,1997,11482
Netherlands,1997,49500
Sweden,1997,30967
Bulgaria,1997,14775
Norway,1997,14423
Belgium,1997,
Algeria,1997,
Austria,1997,15825
Italy,1997,
France,1997,321093
Uzbekistan,1997,20174
Slovakia,1997,11219
Belarus,1997,15266
Vietnam,1997,935
Switzerland,1997,
Serbia,1997,10851
Slovenia,1997,
USA,1997,1795000
UK,1997,468457
Kazakstan,1997,25693
Israel,1997,
Azerbaijan,1997,2570
Tajikistan,1997,1717
Taiwan,1997,15115
China,1997,140280
Papua New Guinea,1997,
Laos,1997,
Portugal,1997,
Barbados,1997,
San Paulo (State),1997,28230
Ukraine,1997,42790
Kazakhstan,1997,25693
Canada,1997,56292
Brunei,1997,
Tunis,1997,3299
Iran,1997,
New Zealand,1997,20951
Czech Republic,1997,21540
Hungary,1997,26728
Romania,1997,8831
Ireland,1997,29472
Mongolia,1997,
Russia,1997,273479
Germany,1997,216411
Luxemburg,1997,1441
Poland,1997,119218
Korea South,1997,29472
Lithuania,1997,13475
Greece,1997,29011
Latvia,1997,6165
Austria,1998,22905
Greece,1998,33149
Sweden,1998,22010
Iran,1998,
Italy,1998,
Armenia,1998,
Switzerland,1998,13815
Algeria,1998,
Finland,1998,9500
Estonia,1998,10758
UK,1998,408739
Kazakstan,1998,21286
Slovenia,1998,
South Africa,1998,
Belarus,1998,14447
Portugal,1998,
Germany,1998,203865
Georgia,1998,4423
Ireland,1998,26230
Lithuania,1998,9322
Singapore,1998,6047
China,1998,142326
Norway,1998,10979
USA,1998,1755500
France,1998,339207
Denmark,1998,16320
Vietnam,1998,1184
Papua New Guinea,1998,
Brunei,1998,
Hungary,1998,
Ukraine,1998,41209
Kyrgyzstan,1998,2919
Azerbaijan,1998,2460
Romania,1998,11554
Tunis,1998,4497
New Zealand,1998,24664
Netherlands,1998,44000
Mongolia,1998,
Kazakhstan,1998,21286
Moldova,1998,3079
Laos,1998,
Russia,1998,265747
Israel,1998,
Canada,1998,57602
Croatia,1998,9065
Tajikistan,1998,1665
Japan,1998,
Latvia,1998,6325
Taiwan,1998,14555
Uzbekistan,1998,18433
San Paulo (State),1998,34993
Bulgaria,1998,22397
Belgium,1998,
Poland,1998,115557
Korea South,1998,32664
Luxemburg,1998,1818
Czech Republic,1998,23078
Serbia,1998,
Slovakia,1998,
Kuwait,1998,
Malaysia,1998,
Barbados,1998,1568
San Paulo (State),1999,47223
Czech Republic,1999,20602
Azerbaijan,1999,2441
China,1999,179955
Hungary,1999,18268
Italy,1999,
Mongolia,1999,1571
Luxemburg,1999,
Portugal,1999,
Croatia,1999,7438
Netherlands,1999,48100
Algeria,1999,
Norway,1999,12469
Vietnam,1999,989
Tunis,1999,5163
Barbados,1999,1526
Denmark,1999,
Poland,1999,136284
Austria,1999,24077
Serbia,1999,10469
Iran,1999,
New Zealand,1999,21139
Israel,1999,33239
Ireland,1999,
Estonia,1999,13546
Belgium,1999,
Armenia,1999,1702
Japan,1999,58526
Papua New Guinea,1999,444
Romania,1999,9582
UK,1999,467905
Kazakhstan,1999,15867
Bulgaria,1999,19085
Korea South,1999,33856
Laos,1999,
Slovenia,1999,
Slovakia,1999,10390
Russia,1999,259400
Belarus,1999,29056
Sweden,1999,25560
Lithuania,1999,15023
Singapore,1999,5850
Malaysia,1999,13690
Latvia,1999,7649
South Africa,1999,
Finland,1999,
Switzerland,1999,13660
USA,1999,1823000
Kyrgyzstan,1999,2557
Brunei,1999,653
Canada,1999,55169
France,1999,353433
Kuwait,1999,3972
Ukraine,1999,42513
Taiwan,1999,18254
Uzbekistan,1999,16600
Moldova,1999,
Tajikistan,1999,1330
Germany,1999,204995
Greece,1999,35704
Georgia,1999,4926
Georgia,2000,5662
Sweden,2000,25372
Ireland,2000,
Korea South,2000,40630
Austria,2000,28984
Azerbaijan,2000,2525
Laos,2000,331
Slovenia,2000,5171
Vietnam,2000,1139
Romania,2000,16251
Singapore,2000,5280
Bulgaria,2000,38470
Uzbekistan,2000,16574
Croatia,2000,7565
Taiwan,2000,15560
Latvia,2000,7554
Slovakia,2000,
Kyrgyzstan,2000,2689
Kuwait,2000,3781
Kazakhstan,2000,16370
Iran,2000,
Armenia,2000,
Italy,2000,
Belarus,2000,21761
Israel,2000,33153
South Africa,2000,
Hungary,2000,33194
Greece,2000,39217
Barbados,2000,1524
Japan,2000,62454
Estonia,2000,12349
San Paulo (State),2000,44407
France,2000,339846
Poland,2000,135889
Portugal,2000,62848
Malaysia,2000,15445
China,2000,189185
USA,2000,1708000
Mongolia,2000,2189
Switzerland,2000,
New Zealand,2000,20865
Russia,2000,246000
Algeria,2000,
Luxemburg,2000,2020
Papua New Guinea,2000,541
Moldova,2000,2794
Ukraine,2000,58151
Brunei,2000,693
Czech Republic,2000,20088
Netherlands,2000,46000
Tunis,2000,5128
Belgium,2000,
Tajikistan,2000,1258
Germany,2000,197154
UK,2000,476100
Canada,2000,53720
Serbia,2000,21688
Norway,2000,10923
Finland,2000,11174
Denmark,2000,17174
Lithuania,2000,11586
Armenia,2001,
Mongolia,2001,2100
Canada,2001,
Hungary,2001,24749
Czech Republic,2001,16421
Italy,2001,
Kazakhstan,2001,16148
New Zealand,2001,21610
Malaysia,2001,15419
Israel,2001,38061
China,2001,215863
Belarus,2001,20968
Luxemburg,2001,
Estonia,2001,10848
Greece,2001,
Azerbaijan,2001,
Japan,2001,63687
Moldova,2001,2706
Poland,2001,140400
Netherlands,2001,
Austria,2001,32930
Barbados,2001,1985
Kuwait,2001,3903
Papua New Guinea,2001,449
Ireland,2001,
Croatia,2001,7560
Germany,2001,186752
Iran,2001,43639
Norway,2001,
Portugal,2001,
Algeria,2001,16993
Slovakia,2001,
Taiwan,2001,13750
Serbia,2001,11728
Slovenia,2001,
Ukraine,2001,60743
San Paulo (State),2001,46348
Uzbekistan,2001,16050
Sweden,2001,
Russia,2001,246500
USA,2001,1734500
Georgia,2001,5283
South Africa,2001,
Switzerland,2001,
Latvia,2001,7579
Kyrgyzstan,2001,2912
Lithuania,2001,11811
Tunis,2001,
Vietnam,2001,1292
Finland,2001,
Laos,2001,415
Tajikistan,2001,1204
Brunei,2001,987
Singapore,2001,5095
Korea South,2001,41885
Bulgaria,2001,31020
Romania,2001,
Denmark,2001,16894
France,2001,
Belgium,2001,
UK,2001,546300
Portugal,2002,
Poland,2002,150293
Germany,2002,183913
Singapore,2002,4943
Slovenia,2002,
Georgia,2002,4598
Russia,2002,260800
Laos,2002,
Netherlands,2002,
Taiwan,2002,
Canada,2002,
Greece,2002,
Korea South,2002,
Finland,2002,
Brunei,2002,
France,2002,323241
Japan,2002,
Papua New Guinea,2002,
Kazakhstan,2002,15706
Kyrgyzstan,2002,
San Paulo (State),2002,
Italy,2002,
Ireland,2002,
Switzerland,2002,
Hungary,2002,31541
Kuwait,2002,
Sweden,2002,26998
New Zealand,2002,21308
Norway,2002,
Israel,2002,
South Africa,2002,
Ukraine,2002,59686
Denmark,2002,16362
Bulgaria,2002,18450
Azerbaijan,2002,
China,2002,250000
Estonia,2002,17311
Romania,2002,12745
Belarus,2002,44310
Luxemburg,2002,
Tajikistan,2002,1257
Moldova,2002,2846
Algeria,2002,15186
Tunis,2002,
Czech Republic,2002,18295
Malaysia,2002,
Croatia,2002,8052
Lithuania,2002,21237
Slovakia,2002,
Armenia,2002,
Austria,2002,32590
Uzbekistan,2002,15796
Latvia,2002,12744
UK,2002,517700
Vietnam,2002,1267
Barbados,2002,1790
Belgium,2002,
Iran,2002,
Serbia,2002,
USA,2002,1687500
Mongolia,2002,2283
UK,2003,621000
Slovakia,2003,15189
Mongolia,2003,1207
Peru,2003,7820
Sweden,2003,29088
Serbia,2003,19271
Uzbekistan,2003,15640
Poland,2003,222199
Australia,2003,109900
Austria,2003,34531
USA,2003,1584500
Tajikistan,2003,1275
Ukraine,2003,61286
Lithuania,2003,18295
Norway,2003,13732
Singapore,2003,4540
Czech Republic,2003,28156
Greece,2003,24463
France,2003,394707
Latvia,2003,11030
Moldova,2003,2531
Costa Rica,2003,10000
Ireland,2003,31837
Estonia,2003,12719
Croatia,2003,10791
Russia,2003,239289
Belarus,2003,24424
Germany,2003,213035
Laos,2003,129
Vietnam,2003,1821
Turkey,2003,56482
Cyprus,2004,
Austria,2004,28923
USA,2004,1550500
Russia,2004,233200
Sweden,2004,24620
Czech Republic,2004,20550
Serbia,2004,15061
Bulgaria,2004,23830
Denmark,2004,15927
Lithuania,2004,16279
Slovenia,2004,6361
Ukraine,2004,47698
Romania,2004,
Belarus,2004,11278
Poland,2004,161720
Belgium,2004,
Croatia,2004,6196
Ireland,2004,30778
France,2004,334421
New Zealand,2004,22031
Latvia,2004,9901
Finland,2004,11754
Estonia,2004,12002
Netherlands,2004,43000
UK,2004,443000
Italy,2004,212837
Portugal,2004,
Greece,2004,30318
Hungary,2004,21471
Switzerland,2004,14249
Slovakia,2004,10118
Luxemburg,2004,2157
Norway,2004,11920
Germany,2004,179272
Denmark,2005,16551
USA,2005,1602000
Vietnam,2005,2554
France,2005,376600
Greece,2005,
Slovenia,2005,6780
Estonia,2005,10614
Serbia,2005,5259
Cyprus,2005,
Russia,2005,229800
Kazachstan,2005,
Malaysia,2005,31138
Germany,2005,158600
Bangladesh,2005,
Finland,2005,13079
Czech Republic,2005,19484
Croatia,2005,6915
Luxemburg,2005,2032
Slovakia,2005,11294
Romania,2005,10199
UK,2005,430291
Belgium,2005,
Latvia,2005,8853
Ireland,2005,30537
Lithuania,2005,15075
Netherlands,2005,43200
Poland,2005,184316
Ukraine,2005,49944
Switzerland,2005,14823
Bulgaria,2005,18969
Sweden,2005,26050
Italy,2005,218858
New Zealand,2005,21859
Portugal,2005,64560
Belarus,2005,11436
Norway,2005,12503
Austria,2005,31397
Hungary,2005,24748
Finland,2006,17800
Hungary,2006,21829
France,2006,359300
Bulgaria,2006,29090
USA,2006,1642500
Italy,2006,227014
Slovakia,2006,10422
Slovenia,2006,
Poland,2006,165353
Vietnam,2006,2124
Malaysia,2006,18913
Bangladesh,2006,
Kazachstan,2006,18973
Cyprus,2006,
Portugal,2006,
Serbia,2006,5712
Belgium,2006,
Lithuania,2006,24030
Russia,2006,220400
Singapore,2006,
Greece,2006,
Austria,2006,30297
Spain,2006,
New Zealand,2006,24405
Sweden,2006,27106
Belarus,2006,11031
Czech Republic,2006,19665
Denmark,2006,16965
Ukraine,2006,49114
Croatia,2006,7117
Switzerland,2006,16307
Ireland,2006,33460
Norway,2006,13499
Romania,2006,12926
Kyrgyzstan,2006,2739
Latvia,2006,17720
Germany,2006,187604
Luxemburg,2006,
UK,2006,436047
Netherlands,2006,
Estonia,2006,14900
Switzerland,2007,13408
Denmark,2007,
Vietnam,2007,1992
Finland,2007,14156
Japan,2007,
Norway,2007,15272
Sweden,2007,30005
Estonia,2007,10400
Cyprus,2007,5993
Czech Republic,2007,21835
Kazachstan,2007,19111
Russia,2007,212600
New Zealand,2007,24802
Lithuania,2007,16650
Romania,2007,21784
Netherlands,2007,
Luxemburg,2007,
Bangladesh,2007,9196
Malaysia,2007,20226
Latvia,2007,10179
Germany,2007,186254
Portugal,2007,
Hungary,2007,25543
Kyrgyzstan,2007,3264
Singapore,2007,
Bulgaria,2007,38187
Slovenia,2007,
Slovakia,2007,14366
Croatia,2007,7416
Poland,2007,151069
France,2007,330600
Belarus,2007,9498
Greece,2007,32593
Belgium,2007,
Ukraine,2007,50583
Austria,2007,36756
Serbia,2007,6948
Ireland,2007,34669
Spain,2007,
UK,2007,384000
Italy,2007,246392
USA,2007,1557500
New Zealand,2008,24315
Romania,2008,15530
Ukraine,2008,49838
Malaysia,2008,
France,2008,312100
Japan,2008,
Kazachstan,2008,19098
Austria,2008,36031
Portugal,2008,41624
Russia,2008,201706
Sweden,2008,28693
Switzerland,2008,15503
Lithuania,2008,15760
Bangladesh,2008,9310
USA,2008,1451500
Poland,2008,161744
Slovakia,2008,11267
Luxemburg,2008,
Serbia,2008,6673
Netherlands,2008,47327
Slovenia,2008,4504
Norway,2008,
Vietnam,2008,1891
Ireland,2008,35386
Moldova,2008,
Bulgaria,2008,38099
Kyrgyzstan,2008,3104
UK,2008,327448
Mongolia,2008,2415
Germany,2008,185295
Hungary,2008,19828
Great Britain,2008,327448
Denmark,2008,20786
Italy,2008,236731
Latvia,2008,8967
Croatia,2008,8008
Belgium,2008,27095
Belarus,2008,8654
Finland,2008,
Cyprus,2008,6505
Greece,2008,33976
Spain,2008,
Liechtenstein,2008,
Estonia,2008,9170
Singapore,2008,
Czech Republic,2008,20406
Bangladesh,2009,12182
Japan,2009,
Cyprus,2009,5716
UK,2009,309000
Portugal,2009,44849
Ireland,2009,
Bulgaria,2009,30219
Kuwait,2009,6061
Kazachstan,2009,17184
Slovakia,2009,11991
Belarus,2009,
Ukraine,2009,44015
Russia,2009,187600
Belgium,2009,
Estonia,2009,8421
Greece,2009,37779
New Zealand,2009,21060
Norway,2009,
Romania,2009,15760
Switzerland,2009,15094
USA,2009,1348500
Croatia,2009,7549
Lithuania,2009,16195
Singapore,2009,5236
Netherlands,2009,
Slovenia,2009,7110
Malaysia,2009,
Hungary,2009,26357
Finland,2009,15057
Czech Republic,2009,20177
Liechtenstein,2009,
Vietnam,2009,1916
Great Britain,2009,
Mongolia,2009,2285
Germany,2009,188429
Italy,2009,210548
Moldova,2009,
Sweden,2009,29493
Denmark,2009,18946
Spain,2009,
France,2009,343300
Serbia,2009,6168
Austria,2009,36427
Latvia,2009,9317
Kyrgyzstan,2009,3278
Poland,2009,159122
Luxemburg,2009,
Croatia,2010,5036
Finland,2010,15208
Great Britain,2010,299300
Denmark,2010,16723
Kazachstan,2010,19058
Kuwait,2010,5247
France,2010,336867
Lithuania,2010,13411
Vietnam,2010,2354
Italy,2010,197166
Germany,2010,189400
Estonia,2010,6439
Poland,2010,135555
Russia,2010,179500
Cyprus,2010,7160
Latvia,2010,8175
Netherlands,2010,
Czech Republic,2010,17937
Bulgaria,2010,25030
Sweden,2010,
Ireland,2010,
Hungary,2010,16756
Kyrgyzstan,2010,6145
Bangladesh,2010,
Slovenia,2010,3770
Serbia,2010,17304
Switzerland,2010,
UK,2010,299000
Belgium,2010,
Mongolia,2010,2541
Ukraine,2010,62207
USA,2010,1331500
Norway,2010,9480
Austria,2010,34363
Greece,2010,
Slovakia,2010,9979
Belarus,2010,10023
Portugal,2010,26800
Spain,2010,115267
Czech Republic,2010,17937
Liechtenstein,2010,
Singapore,2010,4600
Romania,2010,13167
Japan,2010,
New Zealand,2010,18622
Malaysia,2010,
Moldova,2010,1970
Sweden,2011,24806
Slovakia,2011,13891
Russia,2011,168205
Armenia,2011,
Bangladesh,2011,
Serbia,2011,31886
Japan,2011,50006
Croatia,2011,10003
Finland,2011,14737
Singapore,2011,4470
USA,2011,1389500
Austria,2011,57994
Belarus,2011,35322
Slovenia,2011,5198
Romania,2011,31958
Switzerland,2011,13523
Spain,2011,
Portugal,2011,
Liechtenstein,2011,
Belgium,2011,
Kyrgyzstan,2011,3792
Great Britain,2011,288000
Czech Republic,2011,20511
Vietnam,2011,1764
Moldova,2011,2147
Kazachstan,2011,14599
Mongolia,2011,3060
Czech Republic,2011,20511
Bulgaria,2011,41890
Italy,2011,230244
Ukraine,2011,60790
Ireland,2011,29872
Germany,2011,205386
Kuwait,2011,5207
Cyprus,2011,7264
France,2011,317909
Estonia,2011,6321
Lithuania,2011,
Norway,2011,8146
Malaysia,2011,
Denmark,2011,16719
Netherlands,2011,
Hungary,2011,29920
Latvia,2011,8812
Greece,2011,35474
Poland,2011,171839
New Zealand,2011,14357
Poland,2012,183888
France,2012,306871
Germany,2012,
Estonia,2012,4973
Denmark,2012,14844
Japan,2012,44101
Kyrgyzstan,2012,3530
Armenia,2012,
Cyprus,2012,6799
Greece,2012,33731
Mongolia,2012,3501
Great Britain,2012,272800
Slovenia,2012,5570
Finland,2012,11803
Norway,2012,7369
Lithuania,2012,11257
Russia,2012,162900
Serbia,2012,
Portugal,2012,
Italy,2012,241232
USA,2012,1375000
Hungary,2012,37106
Kuwait,2012,5609
Latvia,2012,8536
Kazachstan,2012,16145
Vietnam,2012,1900
Czech Republic,2012,20492
Belgium,2012,21369
Ireland,2012,
Croatia,2012,10857
Switzerland,2012,14304
Romania,2012,38077
Austria,2012,42213
Ukraine,2012,71443
New Zealand,2012,
Czech Republic,2012,20492
Bangladesh,2012,17504
Slovakia,2012,14413
Singapore,2012,4485
Moldova,2012,1984
Sweden,2012,22657
Andorra,2012,235
Belarus,2012,34505
Liechtenstein,2012,32
Taiwan,2012,1574
Myanmar,2012,1219
Malasyia,2012,29874
Canada,2012,45005
Netherlands,2012,
Brunei,2012,1070
Spain,2012,142500
Suriname,2012,
Qatar,2012,1188
Nepal,2012,
Malta,2012,
Bhutan,2012,45
Bulgaria,2012,44939
Jordan,2012,23961
Israel,2012,50654
Peru,2012,11329
Portugal,2013,
New Zealand,2013,
Armenia,2013,
Norway,2013,7318
Croatia,2013,8062
Moldova,2013,2033
Ukraine,2013,61144
Sweden,2013,25392
Poland,2013,125425
Bangladesh,2013,17912
Kazachstan,2013,13621
Greece,2013,28232
Liechtenstein,2013,46
Cyprus,2013,8605
Czech Republic,2013,16563
Czech Republic,2013,16563
Russia,2013,152959
Serbia,2013,22048
Germany,2013,
France,2013,281908
Kuwait,2013,4661
Austria,2013,40395
Latvia,2013,9821
Denmark,2013,15201
Great Britain,2013,192700
Mongolia,2013,3819
Kyrgyzstan,2013,4288
Ireland,2013,
Estonia,2013,5745
Romania,2013,
Lithuania,2013,11333
Nepal,2013,1021
Taiwan,2013,1451
Israel,2013,52024
Vietnam,2013,2540
Netherlands,2013,
Bulgaria,2013,32903
Andorra,2013,212
Singapore,2013,4136
Belgium,2013,21228
Myanmar,2013,1673
Finland,2013,13421
Switzerland,2013,12893
Suriname,2013,
Jordan,2013,25644
Malasyia,2013,33640
Slovakia,2013,
Peru,2013,11264
Costa Rica,2013,
Malta,2013,
Slovenia,2013,4175
Japan,2013,48095
Spain,2013,135000
Italy,2013,196196
Canada,2013,37194
Belarus,2013,7151
Bhutan,2013,42
Brunei,2013,791
Qatar,2013,1158
Argentina,2013,
USA,2013,1240000
Hungary,2013,20177
Netherlands,2014,91160
Vietnam,2014,2375
Mongolia,2014,4222
Hungary,2014,19536
Belgium,2014,
India,2014,
USA,2014,1298000
Ireland,2014,22995
Austria,2014,43336
France,2014,270900
Croatia,2014,7317
Slovakia,2014,10999
Kuwait,2014,4889
Kyrgyzstan,2014,4361
Lithuania,2014,13324
Japan,2014,43741
Latvia,2014,12873
Switzerland,2014,11658
Belarus,2014,7489
Republic of Korea,2014,42135
Oman,2014,3335
Mauritius,2014,8369
Luxemburg,2014,2390
Estonia,2014,6871
Bulgaria,2014,23199
Barbados,2014,
Singapore,2014,4724
Armenia,2014,
Cyprus,2014,
Kazachstan,2014,14477
Germany,2014,175354
Phillippines,2014,15897
Finland,2014,14027
New Zealand,2014,10245
Serbia,2014,16805
Romania,2014,20114
Sweden,2014,
Argentina,2014,
Canada,2014,36445
Myanmar,2014,1629
Bhutan,2014,35
Peru,2014,9430
Brunei,2014,1002
Bangladesh,2014,17830
Israel,2014,
Suriname,2014,3274
Qatar,2014,1135
Malasyia,2014,54540
Nepal,2014,127
Malaysia,2014,54540
Moldova,2014,1890
Czech Republic,2014,17388
Ukraine,2014,68879
Russia,2014,150437
Costa Rica,2014,
Jordan,2014,20795
Italy,2014,189375
Liechtenstein,2014,24
Greece,2014,21879
Denmark,2014,14014
Spain,2014,128000
Andorra,2014,257
Malta,2014,
Slovenia,2014,5917
Great Britain,2014,212500
Norway,2014,8672
Poland,2014,145237
Portugal,2014,
Taiwan,2014,1417
Belgium,2015,
Lithuania,2015,13512
Italy,2015,234675
Singapore,2015,4604
Vietnam,2015,2792
Romania,2015,26247
Ireland,2015,24356
Serbia,2015,17030
France,2015,300667
Kazachstan,2015,14452
Andorra,2015,246
Taiwan,2015,1704
Great Britain,2015,191647
Germany,2015,192078
Denmark,2015,12959
Czech Republic,2015,20232
India,2015,
Sweden,2015,22785
Luxemburg,2015,2346
Nepal,2015,60
Republic of Korea,2015,44435
Phillippines,2015,17138
Oman,2015,3684
Mauritius,2015,6143
Malaysia,2015,40865
Liechtenstein,2015,42
New Zealand,2015,10515
Barbados,2015,
Finland,2015,11220
Croatia,2015,12156
Spain,2015,137000
Moldova,2015,1816
Switzerland,2015,12477
Hungary,2015,21056
Argentina,2015,61839
Costa Rica,2015,
Qatar,2015,1179
Latvia,2015,11004
Cyprus,2015,
Malasyia,2015,40865
Netherlands,2015,125200
Suriname,2015,3465
Peru,2015,9473
Kyrgyzstan,2015,4029
Israel,2015,43765
Myanmar,2015,1708
Austria,2015,45349
Bangladesh,2015,17488
USA,2015,1345500
Canada,2015,
Kuwait,2015,4914
Malta,2015,1938
Tunis,2015,
Mongolia,2015,4561
Slovenia,2015,6983
Slovakia,2015,8807
Bhutan,2015,45
Russia,2015,145900
Greece,2015,25034
Norway,2015,
Bulgaria,2015,30009
Belarus,2015,7339
Jordan,2015,32488
Poland,2015,184847
Estonia,2015,5564
Armenia,2015,6617
Japan,2015,39111
Ukraine,2015,79640
Egypt,2015,
Senegal,2015,
Brunei,2015,1503
Hungary,2016,17534
Bhutan,2016,41
Republic of Korea,2016,43413
Cyprus,2016,
Latvia,2016,9929
Singapore,2016,4114
Italy,2016,245727
Germany,2016,179083
Romania,2016,27804
Kuwait,2016,4771
Netherlands,2016,79560
Israel,2016,48396
Jordan,2016,28693
Barbados,2016,
Canada,2016,
Brunei,2016,1852
Poland,2016,126228
Phillippines,2016,19292
Mauritius,2016,7911
Belarus,2016,5999
Malasyia,2016,49875
Luxemburg,2016,2316
Oman,2016,4157
Malaysia,2016,49875
Kazachstan,2016,13952
Liechtenstein,2016,
Belgium,2016,
Great Britain,2016,201009
Estonia,2016,5065
Denmark,2016,13142
Czech Republic,2016,16253
